Gender,Age,Enjoyment_Level,Books_bought,Genre,Theme,Motivation,Choices,Focus,Time,Frequency,Place,Medium,Place_of_Purchase,Recommendation_Source,Favourite_Book
Male,18-21,3,5,"Adventure, Biography, Fantasy","Survival, Coming of age, Suffering",Enjoyment,"Witty or believable dialogue, In-depth lore that you can escape into outside the confines of a book",Plot focused,Morning,"Daily, <30 minutes","At home, In a group","Print book, Newspaper","Online, places like Amazon","Online/Social Media, I like to browse books on my own",born a crime
Female,18-21,4,0,"Fiction, Mystery, Adventure, Romance","Rebellion, Love (romance), Survival, Coming of age","Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs",Plot focused,Night,"Weekly, once",At home,Print book,"Online, places like Amazon, Book Stores",I like to browse books on my own,The Fault in our Stars
Male,18-21,3,3,"Adventure, Fantasy, Comics, Sci-Fi","Love (romance), Survival, Coming of age, Suffering","School/College Assignments, Enjoyment","Well-written descriptive detail, Interesting character arcs",Character focused,"Morning, Night",I don't prefer reading,In a library,"E-book, Magazines","Online, places like Amazon",Friends,None
Male,Above 25,3,0,"Fiction, Mystery, Adventure, Biography, Fantasy, Sci-Fi",Coming of age,"Enjoyment, Relaxation","Well-written descriptive detail, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Evening, Night","Weekly, once",At home,"E-book, Newspaper, Applications","Online, places like Amazon","Online/Social Media, Friends",None
Female,Above 25,4,0,"Mystery, Biography, Comics","Love (romance), Moral ambiguity","Recommendations from a friend, Enjoyment","Interesting character arcs, Exciting action scenes",Plot focused,"Afternoon, Night","Daily, 30-60minutes",At home,"Print book, Magazines",Book Stores,"Online/Social Media, Friends",Three persons in a Boat
Female,18-21,4,4,"Fiction, Mystery, Adventure, Biography, Comics","Survival, Coming of age, Moral ambiguity","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Afternoon, Night","Daily, <30 minutes","In a library, While commuting, At home",Print book,"Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",Dan Brown
Female,Above 25,5,4,"Fiction, Mystery, Biography, Comics","Survival, Other",Relaxation,"Interesting character arcs, Complicated or multi-step plot",Plot focused,"Afternoon, Night","Daily, 30-60minutes","In a library, At home","Print book, Magazines",Other,I like to browse books on my own,Recently njoying Tim weaver books
Male,Below 18,3,2,"Fiction, Mystery, Comics, Other",Survival,"School/College Assignments, Personality Development","Exciting action scenes, Other",Plot focused,Evening,I don't prefer reading,"In a library, At home, In a group, Other","E-book, Others","Book Orders/Book Fairs from school, Other","Friends, I like to browse books on my own",The chocolate factory
Female,18-21,4,1,Romance,Love (romance),Enjoyment,Other,Character focused,Night,"Weekly, once",At home,Print book,"Online, places like Amazon, Book Stores",Friends,A Message in a bottle
Female,21-24,5,15,"Fiction, Fantasy, Romance, Sci-Fi","Rebellion, Love (romance), Survival, Power and corruption","Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book",Character focused,"Evening, Night","Daily, > 60 minutes",At home,E-book,"Online, places like Amazon, Book Stores",I like to browse books on my own,None
Female,18-21,5,5,Fiction,Rebellion,Enjoyment,Complicated or multi-step plot,Plot focused,Night,"Daily, 30-60minutes",Other,Others,Other,I like to browse books on my own,Percy Jackson
Male,Above 25,4,2,Adventure,Moral ambiguity,"Recommendations from a friend, Personality Development, Relaxation",Exciting action scenes,Character focused,Night,"Weekly, once",At home,"Print book, E-book",Other,I like to browse books on my own,7 steps for scucess
Male,Above 25,3,0,Other,Other,"Enjoyment, Relaxation","Well-written descriptive detail, Other",Character focused,"Morning, Afternoon, Evening","Weekly, thrice","While commuting, Other","E-book, Websites","Online, places like Amazon, Other","Online/Social Media, Friends",None
Male,Above 25,4,8,"Mystery, Biography","Survival, Power and corruption, Moral ambiguity","Personality Development, Enjoyment, Relaxation","Witty or believable dialogue, In-depth lore that you can escape into outside the confines of a book",Plot focused,Night,"Weekly, thrice",At home,"E-book, Applications, Websites","Online, places like Amazon","Online/Social Media, I like to browse books on my own",power of subconscious mind
Male,Above 25,4,10,"Fiction, Mystery, Biography, Sci-Fi","Rebellion, Coming of age",Relaxation,"Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot",Plot focused,Night,"Weekly, thrice",At home,"Print book, Websites","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",Shankar
Male,Above 25,3,1,"Fiction, Mystery","Rebellion, Vengeance","Enjoyment, Relaxation",Complicated or multi-step plot,Plot focused,Night,"Weekly, once",At home,Print book,Book Stores,Friends,Jeffrey Archer series
Male,Above 25,5,40,"Mystery, Adventure, Biography, Other","Love (romance), Survival, Coming of age, Other","Enjoyment, Relaxation","Well-written descriptive detail, In-depth lore that you can escape into outside the confines of a book, Other",Character focused,"Afternoon, Evening","Daily, 30-60minutes","At home, Other","Print book, Magazines, Newspaper","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",Yogis of india
Male,Above 25,5,6,"Fiction, Biography, Self Help","Coming of age, Power and corruption, Other","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Complicated or multi-step plot",Plot focused,"Afternoon, Evening, Night","Weekly, thrice",At home,"Print book, E-book, Websites","Online, places like Amazon, Book Stores","Online/Social Media, Friends",The 5AM Club
Male,Above 25,3,0,"Fiction, Mystery, Biography, Self Help","Survival, Coming of age, Power and corruption, Moral ambiguity","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Interesting character arcs, Complicated or multi-step plot",Character focused,Night,"Weekly, once","In a library, While commuting","Print book, E-book, Magazines, Newspaper","Online, places like Amazon, Book Stores",I like to browse books on my own,Subtle Art of Giving a Fuck
Female,18-21,4,0,"Fiction, Mystery, Adventure, Fantasy, Romance",Love (romance),"Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Plot focused,"Evening, Night","Daily, 30-60minutes",At home,"Print book, E-book","Online, places like Amazon, Book Stores",Online/Social Media,None
Female,Above 25,4,6,"Fiction, Adventure, Fantasy, Self Help","Rebellion, Survival","Enjoyment, Relaxation","Witty or believable dialogue, Interesting character arcs, In-depth lore that you can escape into outside the confines of a book",Character focused,Night,"Daily, 30-60minutes",At home,"Print book, Magazines","Online, places like Amazon, Book Stores, Book Orders/Book Fairs from school",Friends,Siddhartha
Male,Above 25,5,2,"Mystery, Self Help","Rebellion, Survival",Enjoyment,"Witty or believable dialogue, Complicated or multi-step plot",Plot focused,Night,"Daily, 30-60minutes",At home,E-book,"Online, places like Amazon",Online/Social Media,Do epic shit (self help)
Male,Above 25,5,30,"Fiction, Mystery, Adventure, Sci-Fi, Self Help",Other,Relaxation,"Well-written descriptive detail, Interesting character arcs",Plot focused,"Morning, Afternoon, Evening, Night","Daily, > 60 minutes",At home,Print book,"Online, places like Amazon, Book Stores",I like to browse books on my own,Difficult to choose
Female,Above 25,4,2,"Mystery, Biography, Romance","Love (romance), Survival, Suffering","Recommendations from a friend, Personality Development, Enjoyment, Relaxation","Well-written descriptive detail, Interesting character arcs",Character focused,"Evening, Night","Weekly, once","While commuting, At home","Print book, E-book, Magazines, Newspaper","Online, places like Amazon, Book Stores","Online/Social Media, Friends, I like to browse books on my own",Orissa
Male,Above 25,3,3,Self Help,"Survival, Coming of age, Moral ambiguity","Personality Development, Enjoyment","Well-written descriptive detail, Interesting character arcs",Plot focused,Night,"Weekly, once",At home,"Print book, Newspaper, Websites",Book Stores,Other,Thinking Fast and Slow
Female,Below 18,5,0,"Fiction, Mystery, Fantasy, Romance","Rebellion, Vengeance, Love (romance), Survival, Coming of age, Suffering, Power and corruption, Moral ambiguity","Enjoyment, Relaxation","Well-written descriptive detail, Witty or believable dialogue, Interesting character arcs, Complicated or multi-step plot, In-depth lore that you can escape into outside the confines of a book, Exciting action scenes",Character focused,"Morning, Afternoon, Evening, Night","Daily, 30-60minutes","In a library, While commuting, At home, In a group, Other","E-book, Applications, Websites, Others",Other,"Online/Social Media, Friends, I like to browse books on my own","asking the wrong question to the wrong person, it's long list"
Male,Above 25,5,5,"Fiction, Self Help",Other,Personality Development,Complicated or multi-step plot,Plot focused,Night,"Weekly, once","While commuting, At home",Print book,"Online, places like Amazon, Book Stores",Online/Social Media,The God Father (fiction) & The psychology of Money (non fiction)
Male,Above 25,1,0,"Comics, Sci-Fi",Other,Relaxation,Exciting action scenes,Plot focused,Night,"Daily, <30 minutes",At home,"Magazines, Newspaper","Online, places like Amazon, Other","Online/Social Media, I like to browse books on my own","Surely you are joking, Mr Feynman!"
Male,Above 25,5,8,"Fiction, Other","Survival, Coming of age, Power and corruption, Moral ambiguity","Recommendations from a friend, Enjoyment, Relaxation","Well-written descriptive detail, In-depth lore that you can escape into outside the confines of a book",Character focused,"Afternoon, Evening","Daily, <30 minutes","In a library, While commuting, At home","Print book, Magazines, Newspaper, Websites","Online, places like Amazon, Book Stores","Online/Social Media, Friends",Golden Gate
Female,Above 25,5,5,"Mystery, Adventure, Comics","Vengeance, Survival, Power and corruption","Personality Development, Enjoyment, Relaxation",Interesting character arcs,Plot focused,"Evening, Night","Daily, 30-60minutes",At home,"Print book, E-book, Magazines, Websites","Book Stores, Book Orders/Book Fairs from school","Online/Social Media, Friends","Jangyaseni(Odia), Wings of Fire"
Male,Above 25,4,4,"Fiction, Adventure, Biography, Sci-Fi","Rebellion, Survival","Recommendations from a friend, Personality Development, Enjoyment","Well-written descriptive detail, Interesting character arcs",Character focused,Evening,I don't prefer reading,At home,"Print book, E-book","Online, places like Amazon, Book Stores",Friends,None
